Gname,Site,Loc,Yr,Season,Replicate,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,Yield
Gen1,Site1,Loc1,Year1,DS,R1,1,1,102.0122631,93.6317271,9.317678805,3.831684757,3.60658291,3.935712553,6.607569572,8.757326283
Gen1,Site1,Loc1,Year2,DS,R1,1,1,103.7761346,106.5530407,10.99405396,2.590603157,3.974856014,4.025923631,4.44194327,7.582000615
Gen1,Site1,Loc1,Year1,WS,R1,1,1,105.1776216,86.42396661,11.4543901,5.453379975,5.039709146,5.899046592,5.727683345,6.826128938
Gen1,Site1,Loc1,Year2,WS,R1,1,1,92.59194561,93.98467917,13.50587582,3.884426161,3.20954961,4.298857001,5.709804065,8.505929299
Gen1,Site1,Loc1,Year1,DS,R2,1,1,86.74413784,99.01045261,12.62059357,7.474954248,5.191291957,2.842296948,6.422532865,8.167263751
Gen1,Site1,Loc1,Year2,DS,R2,1,1,87.59605958,85.53750659,10.89160136,7.540118507,5.834843048,5.201796235,5.41436211,7.186677444
Gen1,Site1,Loc1,Year1,WS,R2,1,1,76.48661226,109.90647,10.09246003,4.873392646,5.249711576,4.195146101,5.066975983,7.401579708
Gen1,Site1,Loc1,Year2,WS,R2,1,1,111.2721756,102.0934357,10.71275564,4.785227795,4.706562674,4.822839452,4.573760101,8.633734544
Gen1,Site1,Loc1,Year1,DS,R3,1,1,99.48224914,81.87649421,11.30694848,4.033435079,na,4.839705826,4.607103326,9.217497192
Gen1,Site1,Loc1,Year2,DS,R3,1,1,115.631685,100.4666082,10.78526467,5.266463263,4.040095675,5.375690981,5.066730566,9.863486789
Gen1,Site1,Loc1,Year1,WS,R3,1,1,110.8147904,113.9186388,11.37474289,4.414835252,3.435354696,7.418261839,3.688196187,8.87747695
Gen1,Site1,Loc1,Year2,WS,R3,1,1,77.64704163,102.9068987,13.07844896,6.295980303,5.251993688,5.632960451,4.959054998,7.54326873
Gen10,Site1,Loc1,Year1,DS,R1,10,1,95.61070504,92.78430465,11.67251599,5.849644092,5.359879044,4.739986032,4.184322563,7.882914452
Gen10,Site1,Loc1,Year2,DS,R1,10,1,91.2376882,87.42151561,12.31921187,5.272584072,4.951841533,na,5.930517306,8.048629853
Gen10,Site1,Loc1,Year1,WS,R1,10,1,98.04665483,97.04021259,12.62723094,5.761927492,3.754879814,6.793387975,5.226569354,5.418022239
Gen10,Site1,Loc1,Year2,WS,R1,10,1,103.5508745,100.5674621,12.66902844,5.383207256,4.608369876,7.384161405,5.078711879,8.4559458
Gen10,Site1,Loc1,Year1,DS,R2,10,1,104.6889405,106.5097221,12.53492674,6.879087765,4.952784609,5.223860285,5.679950286,8.033715732
Gen10,Site1,Loc1,Year2,DS,R2,10,1,88.36741243,96.34912306,11.46354376,5.606358449,5.002418602,4.303075606,4.08089055,8.77410518
Gen10,Site1,Loc1,Year1,WS,R2,10,1,96.21260218,99.17200892,11.38138008,5.702347991,7.56679755,5.963295502,7.25201878,9.504868111
Gen10,Site1,Loc1,Year2,WS,R2,10,1,92.73870144,124.042453,11.06333975,4.780276431,4.326646646,4.995050432,5.231971795,na
Gen10,Site1,Loc1,Year1,DS,R3,10,1,104.1003408,na,11.2721409,5.699083349,6.338123784,4.651027169,5.177882153,na
Gen10,Site1,Loc1,Year2,DS,R3,10,1,104.8943218,106.1376402,10.79039645,5.321362163,3.0178052,5.462324043,4.653420017,na
Gen10,Site1,Loc1,Year1,WS,R3,10,1,91.26344399,93.95656899,11.47638187,3.467469947,3.803121647,4.992054966,4.404069771,7.761072509
Gen10,Site1,Loc1,Year2,WS,R3,10,1,90.16305843,111.4525899,11.00665916,4.653949053,4.480197116,5.06100957,6.048421796,8.132690802
Gen100,Site1,Loc1,Year1,DS,R1,20,5,103.6445861,108.6166529,11.13911892,5.122187107,4.332160407,4.090560246,5.874736936,7.574513005
Gen100,Site1,Loc1,Year2,DS,R1,20,5,84.41034058,103.5347425,12.0351194,4.50470046,6.42827896,4.324561035,6.519388077,8.826065084
Gen100,Site1,Loc1,Year1,WS,R1,20,5,95.29885763,85.876857,12.8150766,3.680807619,5.671984242,6.454576417,4.232168556,9.044505254
Gen100,Site1,Loc1,Year2,WS,R1,20,5,106.7610925,93.40746291,12.95471146,5.027581596,6.009206942,3.667366714,5.07525426,7.822245426
Gen100,Site1,Loc1,Year1,DS,R2,20,5,101.4481221,105.3785516,11.02008111,3.686485217,6.997550783,7.028401268,na,8.846244344
Gen100,Site1,Loc1,Year2,DS,R2,20,5,na,100.9194031,11.5449555,6.035055008,3.061965659,3.883130153,na,8.463363169
Gen100,Site1,Loc1,Year1,WS,R2,20,5,107.924951,103.7011819,12.73416892,4.996779866,5.29372275,4.804829644,5.178309147,7.550046825
Gen100,Site1,Loc1,Year2,WS,R2,20,5,113.2360212,118.6529378,11.75581726,4.509319003,3.045376145,4.190077656,3.609239614,8.619756301
Gen100,Site1,Loc1,Year1,DS,R3,20,5,109.8823832,104.1412543,11.58387325,5.115958285,5.664568005,2.923549528,5.105342397,7.547230105
Gen100,Site1,Loc1,Year2,DS,R3,20,5,91.98033059,87.76078958,15.37935529,5.460770671,5.324757822,6.622449501,5.472539286,6.346145089
Gen100,Site1,Loc1,Year1,WS,R3,20,5,88.23075637,89.70137428,13.20860215,4.211240013,3.989783874,4.956633272,5.418289696,8.032409621
Gen100,Site1,Loc1,Year2,WS,R3,20,5,97.43706221,103.5348579,10.90241262,5.684796159,5.081981144,6.521904209,5.686974351,7.01278157
Gen101,Site1,Loc1,Year1,DS,R1,1,6,120.9753841,129.2354647,10.36016237,4.097922683,4.608364146,5.173087994,6.427158314,8.525706257
Gen101,Site1,Loc1,Year2,DS,R1,1,6,124.6226876,104.5253531,12.08994603,5.803367595,6.08106257,5.735041995,3.655139389,8.177037863
Gen101,Site1,Loc1,Year1,WS,R1,1,6,118.6511039,116.7135868,13.6266982,6.954620891,5.172057776,3.033392874,4.476042046,8.312246248
Gen101,Site1,Loc1,Year2,WS,R1,1,6,103.2697198,97.14707342,11.72754233,6.543735727,5.352904844,3.705208986,5.629842673,7.311886371
Gen101,Site1,Loc1,Year1,DS,R2,1,6,105.7642651,99.56674218,10.38220718,4.936235148,6.253352129,4.356856625,5.29693982,8.196896822
Gen101,Site1,Loc1,Year2,DS,R2,1,6,121.8208327,97.82991683,12.34025607,3.445578221,4.773320162,6.191183424,5.781312572,9.311009447
Gen101,Site1,Loc1,Year1,WS,R2,1,6,113.9191953,95.31319209,11.66773058,5.357839835,4.373688169,5.366310743,6.676896066,8.86231692
Gen101,Site1,Loc1,Year2,WS,R2,1,6,88.56617379,72.52661282,12.5476965,5.684730381,3.884818307,5.268015337,4.928429758,7.991744943
Gen101,Site1,Loc1,Year1,DS,R3,1,6,116.4940382,104.3122763,13.87811976,5.219104318,6.951180809,5.206256673,4.732403295,8.00445866
Gen101,Site1,Loc1,Year2,DS,R3,1,6,99.56979485,100.5342872,11.79177196,6.40976497,4.119393839,6.050594673,6.846669453,6.983426751
Gen101,Site1,Loc1,Year1,WS,R3,1,6,104.0067544,88.62720643,11.31364515,6.010958217,2.969082472,4.265219355,5.440720941,7.353749093
Gen101,Site1,Loc1,Year2,WS,R3,1,6,75.68792904,84.2222077,11.93491769,7.164579276,6.695747038,3.976289961,4.002781569,8.553450639
Gen102,Site1,Loc1,Year1,DS,R1,2,6,114.2746583,112.4293797,10.84101356,5.933186398,4.828749215,5.105355861,7.089619256,8.627718828
Gen102,Site1,Loc1,Year2,DS,R1,2,6,106.4084518,93.20394613,9.974151444,5.984120192,5.366892042,5.874661394,5.252897452,7.380402325
Gen102,Site1,Loc1,Year1,WS,R1,2,6,94.36789696,95.33365027,12.88216892,3.72715331,3.450477353,5.370255136,5.473367829,9.140424249
Gen102,Site1,Loc1,Year2,WS,R1,2,6,114.3964043,89.54241162,11.40058141,3.867164675,6.517688605,4.621623252,4.530306551,8.188096883
Gen102,Site1,Loc1,Year1,DS,R2,2,6,103.2870663,97.57277106,13.18674242,5.514065331,4.698591745,3.98565313,7.169308528,8.076745471
Gen102,Site1,Loc1,Year2,DS,R2,2,6,92.32687268,94.98742688,11.61626372,5.725995856,6.216412331,5.822246437,3.213650267,8.199156806
Gen102,Site1,Loc1,Year1,WS,R2,2,6,95.7749025,117.6246315,11.51925042,4.968497863,3.635821192,5.741565617,4.074926277,6.527709183
Gen102,Site1,Loc1,Year2,WS,R2,2,6,101.6004725,107.3755757,11.70378519,4.316902138,3.747388325,5.154598013,4.541744122,7.590312882
Gen102,Site1,Loc1,Year1,DS,R3,2,6,108.7661615,95.10286229,11.01254086,4.348840124,4.219148761,4.917525918,5.115359828,8.957913194
Gen102,Site1,Loc1,Year2,DS,R3,2,6,81.77072042,103.8565567,11.72774187,5.360706462,6.575661609,3.949395458,3.97230325,9.315189517
Gen102,Site1,Loc1,Year1,WS,R3,2,6,107.9784582,87.89214166,11.5390584,5.715307995,3.446697221,5.732874446,4.107223548,6.71187013
Gen102,Site1,Loc1,Year2,WS,R3,2,6,101.2996716,103.2566698,13.13328389,4.998197056,4.345770661,3.731939356,4.492178833,8.592315996
Gen103,Site1,Loc1,Year1,DS,R1,3,6,99.2853021,98.73250254,10.80440422,5.337312112,5.311668855,3.310996493,5.157781146,6.88431605
Gen103,Site1,Loc1,Year2,DS,R1,3,6,70.63301312,115.0747268,12.69602517,2.504280316,3.435995849,3.085090937,5.252154975,7.932040797
Gen103,Site1,Loc1,Year1,WS,R1,3,6,102.630644,90.997182,12.80264109,6.162828646,5.429204717,4.752293028,5.009104954,8.872924785
Gen103,Site1,Loc1,Year2,WS,R1,3,6,118.3387737,80.70269056,12.62073168,5.935970484,3.080804203,5.778288222,6.693605059,8.221565501
Gen103,Site1,Loc1,Year1,DS,R2,3,6,95.87246692,93.64196641,12.8879426,4.332766361,6.178499583,5.382810814,4.654215016,5.796023065
