Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site1,Loc1,Year1,DS,R1,1,1,106.8753978,111.5915851,11.10085007,2.662272454,4.718504823,5.932529308,6.189638816,8.122545611
Gen2,Site1,Loc1,Year1,DS,R1,2,1,103.562422,90.08217028,11.73171359,5.259090906,3.353868767,5.026991022,4.457619656,6.3766364
Gen3,Site1,Loc1,Year1,DS,R1,3,1,104.8914991,87.54162278,12.84209118,4.912229319,3.13161843,6.076636558,5.56230308,8.089459839
Gen4,Site1,Loc1,Year1,DS,R1,4,1,108.9584347,110.4033677,11.38648986,3.404398793,6.14989003,2.857906825,3.23320858,6.953672494
Gen5,Site1,Loc1,Year1,DS,R1,5,1,94.49518715,110.2052268,12.80844193,3.803285462,5.695384671,6.570754482,4.929051158,8.207094473
Gen6,Site1,Loc1,Year1,DS,R1,6,1,110.4308085,111.9626156,12.47892249,6.69769336,5.440626503,4.410929668,5.081636576,5.268806427
Gen7,Site1,Loc1,Year1,DS,R1,7,1,102.493317,87.79112904,14.23155375,4.467494205,4.669759525,4.758589926,5.200906295,10.42826396
Gen8,Site1,Loc1,Year1,DS,R1,8,1,105.1694778,101.7709376,13.64097501,5.090476278,3.484764795,6.344970136,4.713318176,5.31236432
Gen9,Site1,Loc1,Year1,DS,R1,9,1,93.19161978,94.62604631,11.62174417,6.165495045,4.094009888,4.313811693,5.287758932,7.476053643
Gen10,Site1,Loc1,Year1,DS,R1,10,1,93.49917481,95.98121704,10.53056619,5.243783107,4.604181153,5.213183904,3.304039179,7.942102695
Gen11,Site1,Loc1,Year1,DS,R1,11,1,103.3137756,100.0869652,12.52428139,4.419265247,3.595931827,6.847149177,5.715388915,9.183085784
Gen12,Site1,Loc1,Year1,DS,R1,12,1,114.4125373,104.8235536,9.397933922,4.136672201,5.878435187,4.871006808,4.624986861,9.041369419
Gen13,Site1,Loc1,Year1,DS,R1,13,1,91.41173714,101.0119194,12.19946294,4.846155177,4.024927411,5.747014862,4.224869259,9.173728771
Gen14,Site1,Loc1,Year1,DS,R1,14,1,96.80868763,73.59145799,12.81201901,3.972512455,5.357884327,5.849663353,5.888916778,6.958068163
Gen15,Site1,Loc1,Year1,DS,R1,15,1,95.92349823,98.619956,10.49140864,4.850910623,3.649605143,4.298749683,5.337333664,8.715189611
Gen16,Site1,Loc1,Year1,DS,R1,16,1,92.55017383,86.45081641,13.15998712,5.513115085,4.907913972,3.99281187,3.727189891,6.861038901
Gen17,Site1,Loc1,Year1,DS,R1,17,1,93.28147081,103.41296,10.94866397,3.317003048,6.863338795,3.757120949,5.428690682,6.733457106
Gen18,Site1,Loc1,Year1,DS,R1,18,1,102.3600595,111.4726136,13.53479022,4.051298773,6.513958282,4.60307259,4.141495884,8.441868793
Gen19,Site1,Loc1,Year1,DS,R1,19,1,95.92148409,116.7083146,10.48492794,5.569041668,3.541398608,6.513748724,6.536936147,7.819173731
Gen20,Site1,Loc1,Year1,DS,R1,20,1,98.30419288,126.8613378,12.59264755,3.520152702,4.39945701,4.103673821,6.811485678,7.331740909
Gen21,Site1,Loc1,Year1,DS,R1,1,2,105.8012465,101.4190043,10.81342017,5.956378352,5.847023964,6.722457252,5.953433211,7.60021959
Gen22,Site1,Loc1,Year1,DS,R1,2,2,96.72246058,96.17240113,11.98233184,4.188588168,4.9087295,4.847747048,6.399506376,5.733964268
Gen23,Site1,Loc1,Year1,DS,R1,3,2,84.73026696,98.24380184,12.4681554,5.256067241,4.80908229,4.9569589,6.881565214,6.56857995
Gen24,Site1,Loc1,Year1,DS,R1,4,2,105.7542856,94.32241937,10.82400742,5.409682032,4.715227753,6.067724133,5.663199156,8.986389328
Gen25,Site1,Loc1,Year1,DS,R1,5,2,89.51836606,105.382674,11.24818507,6.858035491,4.270360076,5.849873765,6.303493606,7.69765452
Gen26,Site1,Loc1,Year1,DS,R1,6,2,101.6585624,104.4578788,10.66135485,4.649347472,6.683212778,6.188086098,6.663647878,7.390466534
Gen27,Site1,Loc1,Year1,DS,R1,7,2,92.39081623,105.5636689,12.94590719,4.938853569,3.963460187,5.01955366,4.38960991,7.775201156
