Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site3,Loc3,Year1,DS,R1,1,1,83.11796324,80.54084753,12.15308839,7.0756807,2.896126692,4.677613744,4.835388748,8.597670533
Gen2,Site3,Loc3,Year1,DS,R1,2,1,86.30026004,101.4820112,12.5952665,4.751126889,5.700072608,4.883328724,4.85464307,7.649281889
Gen3,Site3,Loc3,Year1,DS,R1,3,1,87.29852783,110.6349589,12.65382952,2.521320039,5.324542118,4.5868341,3.578174513,7.615965368
Gen4,Site3,Loc3,Year1,DS,R1,4,1,84.72427733,97.64389535,11.4246959,3.562713964,5.571384954,4.093350805,6.713804237,7.94313138
Gen5,Site3,Loc3,Year1,DS,R1,5,1,101.4038405,100.8106316,11.41837803,5.437500528,5.210369461,5.250558593,5.170341332,9.653357487
Gen6,Site3,Loc3,Year1,DS,R1,6,1,88.67329123,115.2929612,12.89791722,5.69886962,6.985791494,5.398166363,5.410259904,7.622965041
Gen7,Site3,Loc3,Year1,DS,R1,7,1,111.6452426,90.79203302,12.28647262,5.543725781,4.422927246,6.319525971,6.479334734,8.225557268
Gen8,Site3,Loc3,Year1,DS,R1,8,1,106.0054418,99.839982,13.40150829,5.178111849,4.257080308,3.584171271,4.070832372,8.057778303
Gen9,Site3,Loc3,Year1,DS,R1,9,1,100.0285233,103.7317749,10.96757394,3.523343348,5.578752993,3.75130207,5.341950594,7.528834009
Gen10,Site3,Loc3,Year1,DS,R1,10,1,97.1547381,107.3754615,11.67289,5.690503286,4.771793201,5.923593352,5.411641192,6.804725798
Gen11,Site3,Loc3,Year1,DS,R1,11,1,99.79805516,101.5229642,13.3534492,6.042371444,4.656904298,5.182479807,5.093338019,7.752479265
Gen12,Site3,Loc3,Year1,DS,R1,12,1,113.3774658,90.18504438,12.04821154,5.430854673,3.154575785,5.083971504,3.879698651,7.998984981
Gen13,Site3,Loc3,Year1,DS,R1,13,1,105.6091865,100.8885025,10.58483994,5.113484491,4.269065712,5.508705776,4.569705511,7.217098992
Gen14,Site3,Loc3,Year1,DS,R1,14,1,93.93213968,81.13573559,11.64717524,5.028701263,6.154921697,4.723982146,3.97543125,7.232660717
