Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site1,Loc1,Year1,DS,R1,1,1,95.40825179,95.93765733,15.05393507,5.623066948,4.875250652,4.713644253,6.568697303,7.043819143
Gen2,Site1,Loc1,Year1,DS,R1,2,1,94.45414963,92.39831458,11.04595314,5.039394308,4.828788403,5.420151801,6.172914117,8.525953232
Gen3,Site1,Loc1,Year1,DS,R1,3,1,95.28140217,95.65692247,12.26076184,3.750427713,3.744870061,5.256655199,6.416952844,8.307459805
Gen4,Site1,Loc1,Year1,DS,R1,4,1,102.2033057,97.67782661,11.88183208,4.861122888,6.134641857,6.947768996,4.662704864,9.149467238
Gen5,Site1,Loc1,Year1,DS,R1,5,1,111.4163297,92.79564177,13.7143621,4.595804095,6.629334909,6.443728573,3.86653788,8.313173941
Gen6,Site1,Loc1,Year1,DS,R1,6,1,86.59113034,116.2856131,12.18118031,5.347224326,7.665883029,4.006613185,5.609693239,8.969327926
Gen7,Site1,Loc1,Year1,DS,R1,7,1,108.9462437,98.06906693,12.05321926,3.606588918,6.137376572,6.089275143,4.554753119,6.410390754
Gen8,Site1,Loc1,Year1,DS,R1,8,1,84.78099927,100.9837275,11.06194296,2.024402788,4.369215544,4.676685539,5.022572848,8.767588474
Gen9,Site1,Loc1,Year1,DS,R1,9,1,105.0881567,100.5900625,12.31086265,4.389251012,5.690923194,6.000071608,3.842445561,9.536716537
Gen10,Site1,Loc1,Year1,DS,R1,10,1,107.9116664,109.8848076,11.09541889,3.97153657,6.131484293,5.608213472,5.594401215,9.763345434
Gen11,Site1,Loc1,Year1,DS,R1,11,1,108.2494625,103.304669,13.14182834,5.213467,3.0468639,4.362333331,3.391378548,6.590842485
Gen12,Site1,Loc1,Year1,DS,R1,12,1,110.5227362,105.145572,10.71382143,5.805494709,5.020528085,3.461157038,5.113809513,7.562304864
Gen13,Site1,Loc1,Year1,DS,R1,13,1,112.7509846,100.6515969,13.68887315,5.385992351,6.158630091,6.44768715,4.565145024,7.317505086
Gen14,Site1,Loc1,Year1,DS,R1,14,1,101.819393,95.2418816,10.98736732,6.114874531,4.989203495,5.83528249,4.68593485,6.672212936
Gen15,Site1,Loc1,Year1,DS,R1,15,1,93.98253795,95.83949406,10.34557195,6.058383457,5.109026577,4.852670872,5.033351663,8.028569392
Gen16,Site1,Loc1,Year1,DS,R1,16,1,103.0520337,111.2563666,13.12647001,3.671235658,3.158869115,4.566260961,7.231477236,8.086439356
