Gname,Site,Year,Season,Rep,Location,PH,Country,AMY,DTF,DTH,FTP,YLD
Salt001,IRRI,2011,DS,R1,Nueva Ecija,91.4051473051,11.5387242574,3.5630883798,3.7722614329,6.3706520713,6.1070825571,6.1202969614
Salt002,IRRI,2011,DS,R1,Nueva Ecija,92.2555614224,12.6513872481,4.5970846751,3.4978750899,5.8713243049,5.1743450852,8.2215912744
Salt003,IRRI,2011,DS,R1,Nueva Ecija,105.017992403,12.5297473914,4.5036141657,3.6596903171,4.7010127505,4.6345015646,8.3094068545
Salt004,IRRI,2011,DS,R1,Nueva Ecija,97.3932691802,12.8097184583,7.4946060558,6.9458643572,5.556520448,6.131020311,7.3148275091
Salt005,IRRI,2011,DS,R1,Nueva Ecija,105.5700785983,11.3855519652,4.9356516517,6.6107642313,5.9679548398,6.582693233,9.3862434454
Salt006,IRRI,2011,DS,R1,Nueva Ecija,78.7525532627,11.0628240225,5.7210070799,3.7524109484,3.8752369417,5.3960976148,6.7239070888
Salt007,IRRI,2011,DS,R1,Nueva Ecija,99.9155148958,10.2870838351,5.8611889304,6.7304435569,3.3439391716,4.0028150038,7.4839200829
Salt008,IRRI,2011,DS,R1,Nueva Ecija,100.7468514925,13.4010556393,6.3328576621,2.1258490686,4.8859744315,5.3409361284,8.5510532337
Salt009,IRRI,2011,DS,R1,Nueva Ecija,86.1004838487,10.5354806541,5.2106174012,3.7648324452,2.8104344661,5.0968481273,8.7247416651
Salt010,IRRI,2011,DS,R1,Nueva Ecija,79.5820078142,12.0228293326,4.5974320017,4.0162581247,3.3559028655,6.4165784768,9.3140708757
Salt011,IRRI,2011,DS,R1,Nueva Ecija,113.9852799061,11.0676664809,6.8996276911,3.4070790147,5.1021826891,5.0869955406,8.2043668662
Salt012,IRRI,2011,DS,R1,Nueva Ecija,105.1445976286,11.5803836727,4.4593871787,4.4443939132,4.797305803,3.7532047917,8.8383407707
Salt013,IRRI,2011,DS,R1,Nueva Ecija,88.8330130541,11.7394111733,3.5428644295,4.2284772456,3.5100523177,4.2116194757,9.2048961934
Salt014,IRRI,2011,DS,R1,Nueva Ecija,88.1067738665,11.0155090599,5.3885823723,4.7555498252,6.0042856518,4.9328691471,9.1427966658
Salt015,IRRI,2011,DS,R1,Nueva Ecija,82.9718479157,11.2710546249,5.0039423155,6.6405572886,5.0716350574,5.643525878,5.6450803866
Salt016,IRRI,2011,DS,R1,Nueva Ecija,99.857968381,10.333632637,5.5333213135,4.4716039359,5.2184583941,5.5130559674,9.4848259645
Salt017,IRRI,2011,DS,R1,Nueva Ecija,92.8540172488,9.0712050199,4.7323576546,5.61993998,3.672770301,5.0098311653,9.576123894
Salt018,IRRI,2011,DS,R1,Nueva Ecija,105.6440153972,13.8997613491,4.8677594657,5.2955117057,5.0582135653,4.279998928,8.3661970843
Salt019,IRRI,2011,DS,R1,Nueva Ecija,100.3486317915,12.6725688993,6.7070226324,4.4962807887,3.9806202156,2.9944701621,9.1831181361
Salt020,IRRI,2011,DS,R1,Nueva Ecija,102.2454095195,11.6451434212,6.0857859102,4.4330078657,5.5070626861,5.4871021269,9.0351921555
Salt021,IRRI,2011,DS,R1,Nueva Ecija,76.1348270464,10.8748652095,4.8958870105,5.0337528204,5.7139114624,3.6645391993,5.8666170497
Salt022,IRRI,2011,DS,R1,Nueva Ecija,110.1079615734,11.5372270837,4.6693087722,3.0912669317,4.5129774825,3.6060047484,6.8146538422
Salt023,IRRI,2011,DS,R1,Nueva Ecija,88.0990740872,10.9848698854,5.270871548,2.6691098509,5.5453360808,5.7520052221,7.9827494859
Salt024,IRRI,2011,DS,R1,Nueva Ecija,109.4108188874,12.2137293846,5.4856187918,5.0258592862,3.7759222125,5.3703210862,6.3057772466
Salt025,IRRI,2011,DS,R1,Nueva Ecija,91.9148526579,12.2217674458,6.2821085488,5.5525344223,5.8291997389,5.6840117233,6.867217346
Salt026,IRRI,2011,DS,R1,Nueva Ecija,73.5989188274,13.3049206048,3.9012600689,5.9362253703,5.5044446438,5.2494768782,8.9101330598
Salt027,IRRI,2011,DS,R1,Nueva Ecija,90.400261595,11.3708968272,6.046404324,3.081449102,5.3200012977,4.9752371649,6.7188500244
Salt028,IRRI,2011,DS,R1,Nueva Ecija,125.0794200061,12.5978203726,4.8497007291,4.7130649846,4.6754978417,6.2843460445,8.7506914663
Salt029,IRRI,2011,DS,R1,Nueva Ecija,97.9286249076,11.2521338635,3.0340517412,3.7979929167,4.8891537542,5.0893001108,7.1157493949
Salt030,IRRI,2011,DS,R1,Nueva Ecija,106.0698739532,12.7542374692,7.3708572789,6.1095543057,4.4771399421,4.1613154461,8.053522522
Salt031,IRRI,2011,DS,R1,Nueva Ecija,105.3328592961,12.2911410786,6.0615086089,4.4034571666,3.9416567309,5.0875380444,9.8160317695
Salt032,IRRI,2011,DS,R1,Nueva Ecija,98.5173751754,11.1710281187,2.6598323294,4.835627184,4.5552483663,4.5292597197,8.9276711183
Salt033,IRRI,2011,DS,R1,Nueva Ecija,102.7351469703,12.2667960527,6.6658455636,5.932574523,3.6275229763,4.4899497126,7.4241918495
Salt034,IRRI,2011,DS,R1,Nueva Ecija,94.1485203391,11.3855834184,4.6549324828,5.573972614,4.5767890178,3.9293328412,7.5006309559
Salt035,IRRI,2011,DS,R1,Nueva Ecija,110.7805291249,13.936398894,3.953020455,4.2759566091,4.9316128083,6.0389081146,8.8988531306
Salt036,IRRI,2011,DS,R1,Nueva Ecija,104.9006868027,12.3728705952,5.0227566336,4.257107385,3.8025813007,2.6569410661,8.3700759141
Salt037,IRRI,2011,DS,R1,Nueva Ecija,112.712037824,11.7784044356,5.9243345356,6.2829919663,4.1702675804,4.789270784,8.8592838412
Salt038,IRRI,2011,DS,R1,Nueva Ecija,102.0139385237,13.24898286,4.9057615845,4.5731267803,4.4476345269,4.7862981855,5.8479404604
Salt039,IRRI,2011,DS,R1,Nueva Ecija,105.5496290646,11.8877377506,4.3332384028,4.551407206,6.5009845043,4.9471765858,7.0787337053
Salt040,IRRI,2011,DS,R1,Nueva Ecija,103.3803414579,12.0509994227,5.317704123,5.257515928,6.2762232019,5.1418747226,6.8651304475
Salt041,IRRI,2011,DS,R1,Nueva Ecija,86.5795821027,10.4844735709,5.7603503848,4.6459774998,5.7632257419,5.7843435274,6.8535889307
Salt042,IRRI,2011,DS,R1,Nueva Ecija,100.9290385487,11.8362815946,5.5896725074,4.9640836873,5.1534138476,4.3760519666,7.4669196889
Salt043,IRRI,2011,DS,R1,Nueva Ecija,93.761749367,12.4083375835,4.6493396677,3.4990230398,4.1608977517,3.6708476585,8.4316727199
Salt044,IRRI,2011,DS,R1,Nueva Ecija,87.2424956089,11.3684985939,4.1033583284,5.8790602755,4.9187861306,3.876082253,8.5499392521
Salt045,IRRI,2011,DS,R1,Nueva Ecija,97.3619770488,11.6499985813,4.2754474238,4.6963059602,4.3959723811,3.3259665481,7.9294224547
Salt046,IRRI,2011,DS,R1,Nueva Ecija,89.0808173459,11.3837185938,4.8192146643,5.401506966,5.5931381195,3.4536873398,6.4626147108
Salt047,IRRI,2011,DS,R1,Nueva Ecija,98.2198216485,13.0504720593,5.7178892982,5.1913135516,6.0036675015,2.1835074435,7.4652620852
Salt048,IRRI,2011,DS,R1,Nueva Ecija,104.3651960453,13.7848117632,5.5902620789,6.5892234788,6.0917964946,5.5853693725,9.1959935956
